风险等级,地区,区域,已筛选地区
中风险,安徽,阜阳市颍州学村北区,阜阳市颍州学村北区
中风险,安徽,阜阳市颍上县谢桥镇全域,阜阳市颍上县
中风险,安徽,六安市裕安区城南镇宝业小区8号楼,六安市裕安区
中风险,安徽,淮南市凤台县刘集镇淝北村,淮南市凤台县
中风险,安徽,淮南市凤台县李冲回族乡李冲村,淮南市凤台县
中风险,安徽,淮南市凤台县李冲回族乡民族村,淮南市凤台县
中风险,安徽,芜湖市繁昌区新港镇建华建材职工宿舍5栋,芜湖市繁昌区
中风险,安徽,芜湖市繁昌区栖霞小区31栋,芜湖市繁昌区
中风险,安徽,芜湖市繁昌区阳光花园C区14栋,芜湖市繁昌区
中风险,安徽,芜湖市繁昌区新城华府小区1号楼,芜湖市繁昌区
中风险,河南,商丘市永城市团结路以南、建设路以北、雪枫路以东、中原路以西区域（含澳林购物广场）,商丘市永城市
中风险,河南,商丘市永城市中原路以东、雨亭路以西、汉梁路以南、建设路以北区域,商丘市永城市
中风险,河南,漯河市临颍县台陈镇台陈村,漯河市临颍县
中风险,河南,周口市太康县城关镇建设路北段、福兴社区、原纱厂家属院合围地区,周口市太康县
中风险,河南,周口市太康县城关镇建设路以西、交通路以南、原小铁路以东、谢安路以北合围地区,周口市太康县
中风险,福建,泉州市泉秀街道灯星社区,泉州市泉秀街道灯星社区
中风险,福建,泉州市东海街道滨城社区,泉州市东海街道滨城社区
中风险,福建,泉州市东海街道云谷社区,泉州市东海街道云谷社区
中风险,福建,泉州市城东街道东星社区,泉州市城东街道东星社区
中风险,福建,泉州市城东街道埭头社区,泉州市城东街道埭头社区
中风险,福建,泉州市城东街道前头社区,泉州市城东街道前头社区
中风险,福建,泉州市丰泽街道东美社区北至妙云街、西至刺桐南路、南至泉秀街、东至坪山路和东霞街（河岸）区域,泉州市丰泽街道东美社区
中风险,福建,泉州市丰泽区泉秀街道成洲社区,泉州市丰泽区
中风险,福建,泉州市晋江市安海镇安平社区,泉州市晋江市
中风险,福建,泉州市丰泽区泉秀街道新秀社区,泉州市丰泽区
中风险,福建,泉州市丰泽区泉秀街道泉淮社区,泉州市丰泽区
中风险,福建,泉州市丰泽区泉秀街道灯洲社区,泉州市丰泽区
中风险,福建,泉州市丰泽区丰泽街道源淮社区,泉州市丰泽区
中风险,福建,泉州市丰泽区丰泽街道东涂社区,泉州市丰泽区
中风险,福建,泉州市丰泽区丰泽街道前坂社区,泉州市丰泽区
中风险,福建,泉州市丰泽区东湖街道铭湖社区,泉州市丰泽区
中风险,福建,泉州市丰泽区城东街道庄任社区,泉州市丰泽区
中风险,福建,泉州市丰泽区城东街道霞美社区,泉州市丰泽区
中风险,福建,泉州市丰泽区城东街道西福社区,泉州市丰泽区
中风险,福建,泉州市丰泽区城东街道通源社区,泉州市丰泽区
中风险,福建,泉州市丰泽区城东街道通海社区,泉州市丰泽区
中风险,福建,泉州市洛江区万安街道吉源雅苑1号楼,泉州市洛江区
中风险,福建,泉州市鲤城区鲤中街道和平社区北至东街、南至玉犀巷、西至中山中路、东至观东巷区域,泉州市鲤城区
中风险,福建,泉州市晋江市永和镇割山村,泉州市晋江市
中风险,福建,泉州市晋江市陈埭镇高坑村,泉州市晋江市
中风险,福建,泉州市晋江市池店镇新店村,泉州市晋江市
中风险,福建,泉州市晋江市陈埭镇涵口村五四路17号,泉州市晋江市
中风险,福建,泉州市晋江市池店镇霞福村金福小区,泉州市晋江市
中风险,福建,泉州市晋江市池店镇赤塘村,泉州市晋江市
中风险,福建,泉州市晋江市池店镇浯潭村,泉州市晋江市
中风险,福建,泉州市晋江市池店镇清蒙村,泉州市晋江市
中风险,福建,泉州市晋江市陈埭镇洋埭村,泉州市晋江市
中风险,福建,泉州市晋江市池店镇海丝景城A区,泉州市晋江市
中风险,福建,泉州市晋江市店镇百信御江帝景一期,泉州市晋江市
中风险,福建,泉州市鲤城区临江街道伍堡社区,泉州市鲤城区
中风险,福建,泉州市丰泽区城东街道毓才花苑二期6栋、13栋,泉州市丰泽区
中风险,福建,泉州市丰泽区城东街道美仙山二期20栋,泉州市丰泽区
中风险,福建,莆田市涵江区三江口镇杨芳村东曾90号,莆田市涵江区
中风险,福建,莆田市城厢区霞林街道荔园东路1411号下黄小区35号楼4梯,莆田市城厢区
中风险,黑龙江,牡丹江市爱民区通乡社区,牡丹江市爱民区
中风险,黑龙江,牡丹江市爱民区庆达社区,牡丹江市爱民区
中风险,黑龙江,牡丹江市爱民区文化社区,牡丹江市爱民区
中风险,黑龙江,牡丹江市爱民区明月社区,牡丹江市爱民区
中风险,黑龙江,牡丹江市爱民区兴平社区,牡丹江市爱民区
中风险,黑龙江,牡丹江市爱民区建卫社区,牡丹江市爱民区
中风险,黑龙江,牡丹江市爱民区地明安居社区,牡丹江市爱民区
中风险,黑龙江,佳木斯市汤原县幸福家园8号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县幸福家园4号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县幸福家园3号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县清华新城12号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县清华新城5号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县学府新城10号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县清华C区12号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县清华C区6号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县理想家园11号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县理想家园10号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县理想家园6号楼,佳木斯市汤原县
中风险,黑龙江,佳木斯市汤原县阳光花园小区,佳木斯市汤原县
中风险,黑龙江,哈尔滨市南岗区哈达村,哈尔滨市南岗区
