风险等级,地区,区域,已筛选地区,省洲代码,地市代码,区县代码
高风险,黑龙江,佳木斯市汤原县阳光河畔32号楼,佳木斯市汤原县,230000,230800,230828
高风险,福建,泉州市晋江市陈埭镇海尾村,泉州市晋江市,350000,350500,350582
高风险,河北,廊坊市霸州市胜芳镇欧韵城小区,廊坊市霸州市,130000,131000,131081
高风险,河北,唐山市高新技术开发区盛华世家仓储购物市场,唐山市高新技术开发区,130000,130200,130273
高风险,河北,廊坊市安次区葛渔城镇全域,廊坊市安次区,130000,131000,131002
高风险,吉林,长春市绿园区青年路街道宇航社区,长春市绿园区,220000,220100,220106
高风险,吉林,长春市宽城区团山街道小南街社区,长春市宽城区,220000,220100,220103
高风险,吉林,长春市九台区九郊街道新州社区,长春市九台区,220000,220100,220113
高风险,吉林,吉林市昌邑区延江街道江山帝景小区,吉林市昌邑区,220000,220200,220202
高风险,吉林,吉林市经开区九站街道农校社区八委十组（九龙路以南、经开大街以东、翰林路以南）,吉林市经开区,220000,220200,220271
高风险,福建,泉州市丰泽区东海街道云山社区,泉州市丰泽区,350000,350500,350503
高风险,福建,泉州市洛江区万安街道吉源小区20号楼,泉州市洛江区,350000,350500,350504
高风险,福建,泉州市鲤城区临江街道伍堡社区伍堡旧街北至四堡街、南至义全街、西至伍堡新街、东至中山南路区域,泉州市鲤城区,350000,350500,350502
高风险,天津,河北区市月牙河街满江里,天津市河北区,120000,120000,120105
高风险,山东,滨州市阳信县翟王镇,滨州市阳信县,370000,371600,371622
高风险,山东,滨州市邹平市黄山街道办事处张山村,滨州市邹平市,370000,371600,371681
高风险,辽宁,营口市鲅鱼圈区北大荒物流股份有限公司,营口市鲅鱼圈区,210000,210800,210804
高风险,天津,西青区市杨柳青镇锦绣欣居,天津市西青区,120000,120000,120111
高风险,辽宁,沈阳市辽中区茨榆坨街道,沈阳市辽中区,210000,210100,210115
中风险,吉林,长春市南关区明珠街道幸福乡政府宿舍楼,长春市南关区,220000,220100,220102
中风险,吉林,长春市朝阳区湖西街道开运街1629号楼,长春市朝阳区,220000,220100,220104
中风险,吉林,长春市榆树市于家镇万河村,长春市榆树市,220000,220100,220182
中风险,吉林,长春市经开区兴隆山镇吴中北国之春,长春市经开区,220000,220100,220171
中风险,吉林,长春市汽开区锦城街道恒大首府,长春市汽开区,220000,220100,220174
中风险,吉林,长春市长春新区硅谷街道恒大雅苑,长春市长春新区,220000,220100,220173
中风险,吉林,吉林市船营区北山街道乐园一区17号楼,吉林市船营区,220000,220200,220204
中风险,吉林,吉林市磐石市驿马镇滚马岭村样子沟屯,吉林市磐石市,220000,220200,220284
中风险,吉林,吉林市龙潭区山前街道万兴家和小区1号楼2单元,吉林市龙潭区,220000,220200,220203
中风险,吉林,吉林市丰满区龙城帝景小区103栋,吉林市丰满区,220000,220200,220211
中风险,吉林,长春市净月区德正街道东安枫景,长春市净月区,220000,220100,220172
中风险,吉林,长春市二道区八里堡街道力旺康城,长春市二道区,220000,220100,220105
中风险,安徽,阜阳市颍州学村北区,阜阳市颍州学村北区,340000,341200,未收录
中风险,安徽,阜阳市颍上县谢桥镇全域,阜阳市颍上县,340000,341200,341226
中风险,黑龙江,牡丹江市爱民区建卫社区,牡丹江市爱民区,230000,231000,231004
中风险,福建,莆田市城厢区霞林街道荔园东路1411号下黄小区35号楼4梯,莆田市城厢区,350000,350300,350302
中风险,福建,莆田市涵江区三江口镇杨芳村东曾90号,莆田市涵江区,350000,350300,350303
中风险,江苏,徐州市睢宁县李岳小区18号楼,徐州市睢宁县,320000,320300,320324
中风险,江苏,宿迁市宿城区双庄街道浙富世贸广场3号楼,宿迁市宿城区,320000,321300,321302
中风险,黑龙江,哈尔滨市南岗区南航花园B栋,哈尔滨市南岗区,230000,230100,230103
中风险,福建,泉州市城东街道东星社区,泉州市城东街道东星社区,350000,350500,未收录
中风险,福建,泉州市东海街道云谷社区,泉州市东海街道云谷社区,350000,350500,未收录
中风险,福建,泉州市东海街道滨城社区,泉州市东海街道滨城社区,350000,350500,未收录
中风险,福建,泉州市泉秀街道灯星社区,泉州市泉秀街道灯星社区,350000,350500,未收录
中风险,河南,周口市太康县城关镇建设路以西、交通路以南、原小铁路以东、谢安路以北合围地区,周口市太康县,410000,411600,411627
中风险,河南,漯河市临颍县台陈镇台陈村,漯河市临颍县,410000,411100,411122
中风险,河南,商丘市永城市中原路以东、雨亭路以西、汉梁路以南、建设路以北区域,商丘市永城市,410000,411400,411481
中风险,安徽,芜湖市繁昌区新城华府小区1号楼,芜湖市繁昌区,340000,340200,340212
中风险,安徽,淮南市凤台县李冲回族乡民族村,淮南市凤台县,340000,340400,340421
中风险,安徽,六安市裕安区城南镇宝业小区8号楼,六安市裕安区,340000,341500,341503
中风险,福建,泉州市城东街道埭头社区,泉州市城东街道埭头社区,350000,350500,未收录
中风险,福建,泉州市城东街道前头社区,泉州市城东街道前头社区,350000,350500,未收录
中风险,福建,泉州市丰泽街道东美社区北至妙云街、西至刺桐南路、南至泉秀街、东至坪山路和东霞街（河岸）区域,泉州市丰泽街道东美社区,350000,350500,未收录
中风险,江苏,徐州市泉山区余二菜馆（矿南小区24号楼西侧平房）,徐州市泉山区,320000,320300,320311
中风险,江苏,徐州市云龙区翠屏山街道玉兰苑C1号楼,徐州市云龙区,320000,320300,320303
中风险,上海,浦东新区市日京路88号,上海市浦东新区,310000,310000,310115
中风险,内蒙古,赤峰市巴林左旗西城街道赛汗小区,赤峰市巴林左旗,150000,150400,150422
中风险,辽宁,沈阳市大东区惠民家园,沈阳市大东区,210000,210100,210104
中风险,辽宁,大连市金普新区马桥子街道凯悦公寓B座,大连市金普新区,210000,210200,210213
中风险,河北,唐山市路北区君瑞联合农贸市场,唐山市路北区,130000,130200,130203
中风险,河北,邯郸市鸡泽县浮图店镇,邯郸市鸡泽县,130000,130400,130431
中风险,上海,闵行区市华漕镇许浦村三队,上海市闵行区,310000,310000,310112
中风险,上海,崇明区市长兴镇新港村15队,上海市崇明区,310000,310000,310151
中风险,上海,黄浦区市打浦桥街道顺昌路612弄20号,上海市黄浦区,310000,310000,310101
中风险,上海,嘉定区市马陆镇康年路261号工地宿舍,上海市嘉定区,310000,310000,310114
中风险,江苏,徐州市鼓楼区荆南小区2号楼,徐州市鼓楼区,320000,320300,320302
中风险,广东,肇庆市高要区金利镇永利工业园内永顺路1至35号连片区域,肇庆市高要区,440000,441200,441204
中风险,广东,东莞市高埗镇北王路高埗段86号百茂物流园,东莞市高埗镇,440000,441900,441900129000
中风险,广东,茂名市电白区水东街道西湖西路28号底商01至03号商铺,茂名市电白区,440000,440900,440904
中风险,广东,茂名市高新区七迳镇山岚村委会上山岚村2号,茂名市高新区,440000,440900,440904
中风险,山东,威海市文登区张淑静鞋料加工厂（文登区环山办城西西街1-3号）,威海市文登区,370000,371000,371003
中风险,湖南,长沙市雨花区左家塘街道天润花园2栋区域,长沙市雨花区,430000,430100,430111
中风险,江苏,徐州市贾汪区汴塘镇孟省村,徐州市贾汪区,320000,320300,320305
中风险,湖南,长沙市天心区城南路街道席草田巷2、3、5、7、9、11、13、15、17、19、20号；天心街1—11号、12-74号（双号）；白沙街8号二单元；席草田巷1号含（萝卜白菜）经营场所；熙台岭巷41—45号（单号）、52-98号（双号）；南福巷6-8号；里仁坡1—7号、11—37号、45号；城南西路93号（德雅村）—109号（好牙医华盛店）以南；里仁坡2—10号以北,长沙市天心区,430000,430100,430103
中风险,四川,乐山市犍为县玉津镇罗城路众恒中央公园E区,乐山市犍为县,510000,511100,511123
中风险,江西,南昌市新建区石岗镇界坛村,南昌市新建区,360000,360100,360112
中风险,江西,抚州市南城县G35济广高速鹰瑞段南城服务区,抚州市南城县,360000,361000,361021
中风险,湖南,衡阳市衡东县石滩乡石金村小泉屋组,衡阳市衡东县,430000,430400,430424
中风险,湖南,长沙市岳麓区阳光100小区一期二期三期,长沙市岳麓区,430000,430100,430104
